,id,start_frame,stop_frame,annotation,video_file
0,0,90,102,spread margarine on two slices of white bread,video_0.mp4
1,1,114,127,place a slice of cheese on the bread,video_0.mp4
2,2,132,138,place the bread slices on top of each other and place in a hot pan,video_0.mp4
3,3,139,145,flip the sandwich over and press down,video_0.mp4
4,4,173,174,cut the sandwich in half diagonally,video_0.mp4
5,0,67,102,grill the  patties,video_4.mp4
6,1,129,157,chop some roasted pepper and season with salt and pepper,video_4.mp4
7,2,202,222,add butter flour and hot milk to a sauce pan and whisk,video_4.mp4
8,3,229,239,add some parmesan cheese and salt to pot,video_4.mp4
9,4,264,305,put the patties cheese sauce and vegetables in buns,video_4.mp4
10,0,77,98,mix sesame seeds with chicken breast,video_5.mp4
11,1,117,166,add in cooking oil soy sauce salt and mix everything up,video_5.mp4
12,2,175,193,add 2 tbsp corn starch and let it marinate,video_5.mp4
13,3,201,264,combine chicken stock dark soy sauce cooking wine hoisin sauce black vinegar sugar and sesame oil,video_5.mp4
14,4,269,319,mix some corn starch and water together,video_5.mp4
15,5,325,403,coat the chicken pieces with flour and fry them in the oil,video_5.mp4
16,6,513,579,fry some minced garlic roasted red chilli and the sauce,video_5.mp4
17,7,580,588,add in the corn starch and water mixture,video_5.mp4
18,8,600,618,add in the fried chicken and stir to coat them well,video_5.mp4
19,0,21,37,cut squid rings,video_6.mp4
20,1,57,67,add some ground white pepper ground cayenne pepper and ground black pepper to the same bowl,video_6.mp4
21,2,68,73,mix of ingredients in the bowl,video_6.mp4
22,3,74,79,coat the squid rings with the mixture in the bowl,video_6.mp4
23,4,80,100,put the squid rings on a pan and cook the squid rings with oil poured on them,video_6.mp4
24,0,16,23,heat some oil in a pan with garlic and cumin seeds,video_7.mp4
25,1,25,40,add some chopped onions and stir,video_7.mp4
26,2,67,109,add tomato puree and stir,video_7.mp4
27,3,131,158,add the chicken and coat with the sauce,video_7.mp4
28,4,168,197,season it with coriander powder and add some water,video_7.mp4
29,0,28,54,chop the lemon grass ginger onion and chili finely,video_9.mp4
30,1,55,80,pre heat oil in a bowl and add onions chili lemon grass ginger and garlic and stir it and put a lid on,video_9.mp4
31,2,81,123,discard the broken and bad mussels,video_9.mp4
32,3,129,144,add coconut milk fish sauce and soy sauce into the pan,video_9.mp4
33,4,161,165,chop fresh coriander and slice the lime,video_9.mp4
34,5,173,180,put all the mussels into the bowl and stir,video_9.mp4
35,6,196,210,transfer all the mussel shells out of the bowl and squeeze lemon over them,video_9.mp4
36,7,220,228,pour the sauce over the mussel shells,video_9.mp4
37,0,22,72,add cashews onion powder water and chicken flavoring to a blender and blend,video_10.mp4
38,1,74,80,pour the mixture on hash browns,video_10.mp4
39,2,87,112,mix the hash brown and the sauce,video_10.mp4
40,3,114,132,add the diced onions and mix,video_10.mp4
41,4,133,155,spread the mixture loosely on the cooking sheet with olive oil and place in the oven,video_10.mp4
42,0,24,27,chop green onions and garlic,video_11.mp4
43,1,28,58,add minced garlic brown sugar soy sauce rice wine sesame oil honey and ground black pepper to a bowl,video_11.mp4
44,2,62,75,cut the chicken and combine it with the marinade,video_11.mp4
45,3,78,89,oil a pan and place the chicken on it to cook,video_11.mp4
46,4,94,98,sprinkle the chicken with green onions and serve,video_11.mp4
47,0,68,90,cook some chicken pieces in a pan with some cooking oil,video_12.mp4
48,1,94,113,add some water taco seasoning mix and stir the chicken,video_12.mp4
49,2,122,150,put the chicken black beans green onions cilantro and pepper in the rice,video_12.mp4
50,3,151,187,mix the ingredients,video_12.mp4
51,4,211,262,place the filling and cheese on the tortilla and roll the burrito,video_12.mp4
52,0,32,100,put the thinly sliced cabbage in a jar,video_13.mp4
53,1,105,141,add sugar salt and vinegar to the jar,video_13.mp4
54,2,150,207,fill the jar with boiling water and place the lid on the jar,video_13.mp4
55,0,135,175,trim fat from pork and cut it to slices,video_14.mp4
56,1,176,179,season with a little salt and pepper,video_14.mp4
57,2,180,209,cut one green onion into 1 inch size,video_14.mp4
58,3,214,225,cut a red onion into strips,video_14.mp4
59,4,226,242,chop a chinese broccoli to half inch pieces,video_14.mp4
60,5,245,267,cut the mushroom into thin slices,video_14.mp4
61,6,274,290,combine soy sauce water and sugar in a bowl,video_14.mp4
62,7,299,323,boil some udon noodles in water,video_14.mp4
63,8,345,362,boil the chinese broccoli and drain it,video_14.mp4
64,9,372,411,fry the pork with oil and the green onion red onion carrot mushroom and chinese broccoli,video_14.mp4
65,10,412,419,add the udon noodles and cook,video_14.mp4
66,11,425,449,add the premade sauce and stir,video_14.mp4
67,0,43,72,add onion chilis garlic and lemon grass to the food processor,video_15.mp4
68,1,84,110,add shrimp paste cloves tumeric and curry powder to the food processor,video_15.mp4
69,2,141,190,add oil to the food processor while blending,video_15.mp4
70,3,200,228,blend the ingredients in the food processor,video_15.mp4
71,4,274,286,stir the curry paste,video_15.mp4
72,0,47,80,fry oil onions herbs and vegetables in a pan,video_16.mp4
73,1,81,89,pour water into the pan,video_16.mp4
74,2,90,97,mix everything and let it cook,video_16.mp4
75,3,98,126,add potatoes cabbage and pasta to the pan and stir,video_16.mp4
76,4,129,173,add flour mixture tomatoes herbs and seasoning to the pan and stir,video_16.mp4
77,5,182,187,garnish with parsley,video_16.mp4
78,0,85,114,cut tofu into strips,video_17.mp4
79,1,120,202,add oil ginger bean paste chilli paste mushroom green onion chicken lily and vegetable stock to a pot,video_17.mp4
80,2,225,304,add soy sauce vinegar black pepper and sliced tofu,video_17.mp4
81,3,338,365,add cornstarch and water and stir,video_17.mp4
82,4,375,395,add egg and sesame oil,video_17.mp4
83,0,72,82,add baking powder salt and flour to a bowl and mix,video_18.mp4
84,1,85,98,add melted butter yogurt minced garlic coriander leaves to the bowl and mix,video_18.mp4
85,2,99,112,add water to the bowl and knead the dough,video_18.mp4
86,3,113,140,sprinkle dry flour and knead the dough,video_18.mp4
87,4,160,166,wrap the dough in plastic wrap,video_18.mp4
88,5,235,293,roll a ball of dough into a thin shape,video_18.mp4
89,6,317,333,pat the naan with water and place on a hot pan,video_18.mp4
90,7,343,346,flip the naan to the other side and cover the lid,video_18.mp4
91,8,352,358,remove the naan from the pan place in a plate and rub butter on it,video_18.mp4
92,0,21,33,add the lobster to a pan,video_19.mp4
93,1,58,67,pour eggs on the lobster,video_19.mp4
94,2,73,150,move the eggs in the pan,video_19.mp4
95,3,152,170,place the scrambled eggs on a plate with toast,video_19.mp4
96,0,24,38,rinse the quinoa with water,video_20.mp4
97,1,41,57,add quinoa water and salt to a pot,video_20.mp4
98,2,71,82,slice and dice the ham into cubes,video_20.mp4
99,3,101,137,fry the ham peppers and onions in a pan,video_20.mp4
100,4,140,147,add garlic to the pan,video_20.mp4
101,5,175,186,add the quinoa the the pan,video_20.mp4
102,6,195,216,add rice vinegar soy sauce and sriracha to the pan,video_20.mp4
103,7,221,231,add green onion to the pan,video_20.mp4
104,0,14,20,put chopped green onions in a bowl,video_21.mp4
105,1,32,41,blend some pear with garlic,video_21.mp4
106,2,43,61,add brown sugar to the green onion,video_21.mp4
107,3,70,117,combine soy sauce mirin rice vinegar and honey,video_21.mp4
108,4,120,127,add some ground pepper to the green onions,video_21.mp4
109,5,130,150,pour the combined liquid and the blended pear to the green onion bowl,video_21.mp4
110,6,153,161,stir the ingredients,video_21.mp4
111,7,164,170,pour in a little sesame oil,video_21.mp4
112,8,191,213,marinate the beef,video_21.mp4
113,9,226,256,cook the marinated beef on a pan,video_21.mp4
114,0,35,52,put cake flour sugar corn starch baking powder and salt in a bowl and sift them together,video_22.mp4
115,1,53,57,mix the bowl well with a whisk,video_22.mp4
116,2,58,62,beat one egg in a bowl,video_22.mp4
117,3,63,69,add milk to the bowl and mix well,video_22.mp4
118,4,71,86,add the dry ingredients and mix until well blended,video_22.mp4
119,5,87,93,add cooking oil and mix the bowl,video_22.mp4
120,6,94,97,cover the bowl with plastic wrap,video_22.mp4
121,7,100,104,heat a nonstick pan over medium heat,video_22.mp4
122,8,105,115,place the pan on a wet towel turn off the stove and place the pan back on the stove,video_22.mp4
123,9,116,123,pour the batter onto the pan,video_22.mp4
124,10,124,132,flip the pancake when bubbles appear,video_22.mp4
125,11,133,136,cook until the other side of the pancake is brown,video_22.mp4
126,12,139,142,place a piece of butter on the pancakes and pour some maple syrup,video_22.mp4
127,0,30,36,mix 3 types of flour to a bowl,video_23.mp4
128,1,37,54,add 1 egg 1/2 cup of water salt and sugar and mix,video_23.mp4
129,2,57,68,cut an onion to rings,video_23.mp4
130,3,83,97,coat the onion rings in the liquid mixture and then in bread crumb,video_23.mp4
131,4,103,130,fry the onion rings in shallow oil,video_23.mp4
132,0,24,30,add oil chopped onion garlic and salt to a pan,video_24.mp4
133,1,53,60,add the lamb to the pan and mix,video_24.mp4
134,2,126,130,add a small bowl of flour to the lamb,video_24.mp4
135,3,132,149,add worcester sauce tomato puree beef stock and water to the pan,video_24.mp4
136,4,153,157,add thyme to the pan,video_24.mp4
137,5,206,215,add carrots and diced swede to the pan,video_24.mp4
138,6,236,247,add mashed potatoes on top of the lamb,video_24.mp4
139,7,256,259,place the pan into an oven,video_24.mp4
140,0,40,62,place pieces of pork shoulder dark and light soy sauce chinese rice wine cinnamon sticks and water to a pot,video_25.mp4
141,1,63,85,boil and remove the foam,video_25.mp4
142,2,95,106,add vinegar sugar and salt to a bowl and mix,video_25.mp4
143,3,108,120,add carrot and daikon to the bowl and stir,video_25.mp4
144,4,142,150,add sugar to the pork and stir,video_25.mp4
145,5,154,162,add the pork simmering liquid and fish sauce to a bowl,video_25.mp4
146,6,167,173,drain the carrot and daikon pickle,video_25.mp4
147,7,178,190,slice the pork into thin slices,video_25.mp4
148,8,198,209,slice a baguette lengthwise and spread mayonnaise,video_25.mp4
149,9,213,231,spread pate on the bread,video_25.mp4
150,10,235,295,add lettuce leaves pickled vegetables cucumber scallions cilantro jalapeno and pork to the bread,video_25.mp4
151,11,297,301,add the simmering mixture and fish sauce to the sandwich,video_25.mp4
152,12,314,318,add pork floss to the sandwich,video_25.mp4
153,0,136,152,boil chick peas in pressure cooker with ginger,video_26.mp4
154,1,178,198,add oil and green chilies to pan,video_26.mp4
155,2,208,230,remove chilies and add cumin seeds and chick pea flour,video_26.mp4
156,3,240,264,add blended tomatoes to pan and stir,video_26.mp4
157,4,274,284,add coriander powder black salt and green chilis,video_26.mp4
158,5,298,304,add salt and black salt,video_26.mp4
159,6,307,324,add chick peas to pan and cover,video_26.mp4
160,7,345,364,add ground masala machu powder and water,video_26.mp4
161,0,5,78,mix the maida rice flour suji curry leaves salt cumin seeds and hing,video_27.mp4
162,1,78,114,add the water ginger and chilis to the mixture,video_27.mp4
163,2,130,150,add black pepper and grated coconut,video_27.mp4
164,3,155,162,add milk to the dough,video_27.mp4
165,4,190,205,spread the batter in the pan,video_27.mp4
166,5,218,228,add oil to the edges,video_27.mp4
167,6,228,235,flip the dosa over,video_27.mp4
168,7,244,256,place the potato mixture on the dosa,video_27.mp4
169,8,256,263,fold the dosa over,video_27.mp4
170,0,50,71,chop a big cabbage,video_28.mp4
171,1,78,112,heat a pan with oil and saute the chopped cabbage,video_28.mp4
